"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C11";"CAPC0603X33N";2;"10p";;;
2;"C8,C9";"CAPC0603X35N";2;"2.2u";;;
3;"J6";"wifi";1;"5-534206-4";;;
4;"C18,C14,C15,C19,C17";"C0805";5;"10u";;;
5;"R2";"RESC3216X70N";1;"270";;;
6;"H3,H4,H2,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
7;"C13,C7,C4,C20,C3,C5";"CAPC1608X95N";6;"0.1u";;;
8;"J4,J3";"M20-9991546";2;"M20-9991546";;;
9;"C10";"MAASx105";1;"1u";;;
10;"C1";"CAPAE1280X1400N";1;"10u";;;
11;"R1";"RESC3216X60N";1;"10k";;;
12;"C2";"CAPAE1000X1050N";1;"100u";;;
13;"U1";"TO-252-3_TabPin2";1;"LM1117DT-3.3";;;
14;"Y1";"FOXSDLF08020";1;"FOXSDLF_080-20";;;
15;"IC1";"SON50P200X200X80-9N";1;"LM2775DSGT";;;
16;"J1";"DIPS762W70P254L3556H530Q28N";1;"1-2199298-9";;;
17;"J2";"HANDSON_KF301-2P";1;"KF301-2P";;;
